ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UBR1,-0.154855934,0.426590727,0.521367521,4,1,3,UBR494,UBR776,UBR379,UBR941,UBR170,UBR948,UBR298,UBR903,UBR29,UBR546,UBR950,UBR669,UBR825,UBR923,UBR448,UBR771,UBR803,UBR794,UBR364,1,1,1,5,3,4,5,2,7,2,1,4,0,5,4,7,2,2,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,0,3,3,3
UBR2,-0.448600979,-0.026491423,0.49137931,8,5,3,UBR175,UBR331,UBR714,UBR910,UBR688,UBR640,UBR731,UBR164,UBR767,UBR956,UBR163,UBR801,UBR518,UBR81,UBR697,UBR927,UBR245,UBR41,UBR726,3,3,4,4,1,7,1,1,4,3,3,6,0,3,2,0,2,1,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
UBR3,0.01448834,-0.050788633,0.530434783,8,7,1,UBR467,UBR488,UBR860,UBR896,UBR974,UBR482,UBR116,UBR318,UBR135,UBR835,UBR213,UBR125,UBR880,UBR506,UBR34,UBR665,UBR848,UBR10,UBR76,1,0,7,1,3,2,1,1,3,2,2,2,6,4,3,5,7,2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3
UBR4,-0.181670241,-0.07491993,0.55,9,7,2,UBR906,UBR766,UBR892,UBR538,UBR958,UBR846,UBR420,UBR391,UBR136,UBR457,UBR397,UBR719,UBR252,UBR134,UBR36,UBR256,UBR478,UBR148,UBR290,2,7,0,3,2,2,5,2,1,2,7,4,2,7,4,1,0,7,1,3,2,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,2,3
UBR5,0.13064387,-0.117084181,0.571428571,5,2,3,UBR71,UBR775,UBR313,UBR381,UBR444,UBR782,UBR155,UBR616,UBR521,UBR458,UBR156,UBR528,UBR822,UBR886,UBR667,UBR723,UBR18,UBR259,UBR197,5,6,7,0,1,0,4,0,4,6,4,7,2,3,4,2,7,7,1,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,0,2,3
UBR6,0.156787414,0.279737212,0.555555556,5,2,3,UBR228,UBR510,UBR882,UBR12,UBR312,UBR920,UBR905,UBR202,UBR42,UBR661,UBR863,UBR740,UBR696,UBR988,UBR264,UBR791,UBR818,UBR185,UBR179,3,2,2,2,3,7,7,2,1,6,3,7,5,3,5,6,1,2,1,3,3,3,3,3,1,2,3,3,3,3,2,3,3,3,3,3,3,3
UBR7,0.432845692,-0.03676766,0.533898305,6,3,3,UBR423,UBR939,UBR626,UBR382,UBR759,UBR388,UBR490,UBR751,UBR383,UBR207,UBR339,UBR560,UBR462,UBR171,UBR549,UBR204,UBR86,UBR691,UBR427,3,1,7,2,0,0,5,5,7,2,2,7,1,1,2,2,4,2,7,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,1
UBR8,0.646538106,0.063453552,0.482142857,4,1,3,UBR535,UBR262,UBR372,UBR472,UBR377,UBR209,UBR632,UBR586,UBR847,UBR208,UBR604,UBR204,UBR427,UBR167,UBR845,UBR881,UBR772,UBR751,UBR656,5,2,5,5,2,4,2,3,0,1,4,2,7,1,3,0,2,5,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
UBR9,0.003180173,0.479314173,0.5,6,3,3,UBR804,UBR455,UBR904,UBR78,UBR903,UBR868,UBR294,UBR106,UBR40,UBR170,UBR941,UBR315,UBR45,UBR28,UBR178,UBR379,UBR741,UBR344,UBR923,1,1,5,0,2,3,1,5,5,3,5,6,3,4,1,1,5,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UBR10,0.068199597,-0.050209817,0.632,5,2,3,UBR744,UBR125,UBR302,UBR76,UBR25,UBR55,UBR860,UBR482,UBR979,UBR531,UBR18,UBR768,UBR378,UBR488,UBR886,UBR896,UBR337,UBR848,UBR616,2,2,7,2,5,6,7,2,7,2,7,3,7,0,3,1,7,7,0,3,3,2,3,3,3,1,3,2,3,0,3,1,3,3,3,0,1,3
UBR11,-0.227111055,-0.089821813,0.601503759,7,4,3,UBR134,UBR718,UBR397,UBR341,UBR735,UBR136,UBR892,UBR869,UBR992,UBR256,UBR844,UBR986,UBR846,UBR386,UBR36,UBR636,UBR627,UBR965,UBR276,7,7,7,7,1,1,0,4,3,1,5,7,2,3,4,6,7,3,1,2,2,1,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3
UBR12,0.129575158,0.271964327,0.5625,5,2,3,UBR882,UBR228,UBR6,UBR510,UBR661,UBR988,UBR696,UBR818,UBR169,UBR264,UBR863,UBR312,UBR920,UBR185,UBR42,UBR362,UBR740,UBR202,UBR905,2,3,2,2,6,3,5,1,3,5,3,3,7,2,1,6,7,2,7,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,2
UBR13,-0.237005887,-0.002558459,0.627906977,3,0,3,UBR854,UBR91,UBR268,UBR284,UBR183,UBR915,UBR399,UBR101,UBR828,UBR393,UBR559,UBR67,UBR807,UBR556,UBR747,UBR406,UBR537,UBR1000,UBR654,3,7,5,2,7,2,2,7,7,7,2,3,0,4,1,2,7,6,7,3,1,3,3,2,3,3,0,2,0,3,3,3,3,3,3,2,3,2
UBR14,0.31487238,0.179223655,0.637037037,8,7,1,UBR107,UBR395,UBR720,UBR593,UBR88,UBR498,UBR189,UBR951,UBR947,UBR633,UBR581,UBR764,UBR595,UBR952,UBR180,UBR474,UBR345,UBR501,UBR522,4,0,1,7,2,1,7,2,2,3,5,4,7,5,5,5,5,7,7,3,3,3,1,3,3,0,3,3,3,3,3,2,3,3,3,3,1,2
UBR15,0.336415687,-0.322562135,0.583333333,4,1,3,UBR580,UBR634,UBR493,UBR929,UBR841,UBR428,UBR949,UBR811,UBR162,UBR967,UBR454,UBR72,UBR657,UBR356,UBR396,UBR124,UBR300,UBR963,UBR542,0,6,4,1,7,3,1,7,3,7,5,2,4,2,7,4,3,3,7,3,3,3,3,2,3,3,2,3,2,3,3,3,3,2,3,3,3,2
UBR16,0.058559837,0.076618527,0.564516129,3,0,3,UBR410,UBR296,UBR530,UBR77,UBR894,UBR931,UBR770,UBR736,UBR308,UBR459,UBR224,UBR798,UBR17,UBR876,UBR677,UBR229,UBR422,UBR553,UBR647,3,7,1,2,3,3,2,7,5,1,5,1,7,4,7,1,3,3,5,3,2,3,3,3,3,3,0,3,3,3,3,2,3,2,3,3,3,3
UBR17,0.032680121,0.11229788,0.580645161,9,7,2,UBR177,UBR647,UBR210,UBR931,UBR16,UBR511,UBR827,UBR471,UBR410,UBR77,UBR108,UBR308,UBR296,UBR523,UBR347,UBR246,UBR763,UBR352,UBR530,5,5,5,3,0,7,7,0,3,2,2,5,7,4,7,1,0,1,1,3,3,3,3,3,1,0,3,3,3,3,3,2,3,2,3,3,3,3
UBR18,0.097394675,-0.071864485,0.618320611,7,7,0,UBR886,UBR55,UBR531,UBR616,UBR768,UBR744,UBR775,UBR25,UBR10,UBR125,UBR302,UBR979,UBR723,UBR337,UBR667,UBR849,UBR76,UBR848,UBR5,3,6,2,0,3,2,6,5,2,2,7,7,2,7,4,5,2,7,2,3,3,3,3,3,3,3,3,3,3,2,2,3,0,3,3,3,1,3
UBR19,-0.326393722,-0.101033019,0.596899225,5,2,3,UBR138,UBR932,UBR624,UBR574,UBR702,UBR398,UBR687,UBR622,UBR281,UBR961,UBR582,UBR403,UBR715,UBR409,UBR255,UBR286,UBR565,UBR867,UBR611,3,4,7,7,0,6,0,1,2,5,2,4,2,5,5,7,2,6,7,3,3,0,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0
UBR20,0.089776451,-0.60918679,0.572580645,6,3,3,UBR354,UBR765,UBR971,UBR465,UBR937,UBR140,UBR512,UBR49,UBR757,UBR563,UBR734,UBR973,UBR220,UBR811,UBR495,UBR121,UBR94,UBR949,UBR304,2,1,7,0,2,7,4,2,3,7,4,1,3,7,2,6,2,1,7,3,3,2,3,3,1,3,3,3,1,3,3,3,2,3,3,3,3,2
UBR21,-0.267575505,0.324099727,0.553719008,5,2,3,UBR999,UBR794,UBR771,UBR59,UBR601,UBR289,UBR669,UBR676,UBR545,UBR998,UBR820,UBR448,UBR871,UBR948,UBR201,UBR693,UBR629,UBR431,UBR29,3,2,7,3,1,5,4,3,1,5,4,4,2,4,3,0,7,0,7,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2
UBR22,0.023011073,0.316691355,0.569230769,8,5,3,UBR109,UBR28,UBR45,UBR942,UBR113,UBR853,UBR437,UBR272,UBR294,UBR701,UBR78,UBR362,UBR85,UBR40,UBR65,UBR741,UBR185,UBR866,UBR468,3,4,3,6,6,2,2,1,1,7,0,6,7,5,4,5,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,0,3,3,3,3,3,3
UBR23,0.425715612,0.136340855,0.559055118,6,3,3,UBR578,UBR180,UBR194,UBR772,UBR208,UBR104,UBR604,UBR847,UBR593,UBR159,UBR606,UBR845,UBR581,UBR953,UBR632,UBR464,UBR947,UBR198,UBR345,3,5,5,2,1,1,4,0,7,4,1,3,5,7,2,7,2,4,5,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,2,3,3,3
UBR24,0.31079647,-0.173798964,0.598540146,4,1,3,UBR405,UBR748,UBR282,UBR232,UBR390,UBR680,UBR618,UBR328,UBR325,UBR389,UBR238,UBR695,UBR529,UBR917,UBR151,UBR762,UBR705,UBR778,UBR542,4,1,5,5,4,5,4,3,7,4,7,2,3,2,0,6,7,5,7,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,1,3,2
UBR25,0.093407064,-0.038072894,0.625954198,8,5,3,UBR979,UBR302,UBR337,UBR531,UBR744,UBR10,UBR76,UBR737,UBR378,UBR18,UBR55,UBR886,UBR125,UBR849,UBR271,UBR122,UBR768,UBR723,UBR616,7,7,7,2,2,2,2,2,7,7,6,3,2,5,4,7,3,2,0,2,2,0,3,3,3,3,3,1,0,3,3,3,3,3,2,3,3,3
UBR26,-0.281653025,0.064265941,0.592592593,7,4,3,UBR118,UBR547,UBR913,UBR225,UBR324,UBR577,UBR783,UBR214,UBR609,UBR137,UBR69,UBR440,UBR925,UBR243,UBR147,UBR654,UBR50,UBR857,UBR66,5,1,4,5,6,0,4,2,2,1,3,7,6,7,7,7,1,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2,3,3,3
UBR27,-0.156618588,-0.17677771,0.568181818,9,6,3,UBR975,UBR525,UBR713,UBR35,UBR543,UBR486,UBR795,UBR788,UBR275,UBR217,UBR314,UBR651,UBR235,UBR70,UBR784,UBR509,UBR877,UBR342,UBR839,7,7,4,3,6,3,7,4,5,2,2,5,1,2,2,0,6,2,1,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
UBR28,0.026270443,0.332020864,0.572519084,7,4,3,UBR22,UBR109,UBR45,UBR294,UBR113,UBR942,UBR853,UBR78,UBR40,UBR437,UBR362,UBR272,UBR185,UBR741,UBR868,UBR701,UBR85,UBR65,UBR866,5,3,3,1,6,6,2,0,5,2,6,1,2,5,3,7,7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,3
UBR29,-0.162187814,0.336504488,0.5,9,7,2,UBR950,UBR298,UBR494,UBR803,UBR776,UBR364,UBR669,UBR693,UBR379,UBR74,UBR676,UBR59,UBR771,UBR794,UBR923,UBR305,UBR329,UBR68,UBR727,1,5,1,2,1,4,4,0,1,2,3,3,7,2,5,1,2,0,5,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3
UBR30,-0.261199046,-0.44992197,0.583941606,3,0,3,UBR223,UBR968,UBR704,UBR732,UBR439,UBR670,UBR513,UBR360,UBR861,UBR978,UBR799,UBR182,UBR425,UBR937,UBR993,UBR911,UBR625,UBR441,UBR269,6,7,5,7,6,7,4,3,3,2,6,4,6,2,3,2,1,1,5,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
UBR31,-0.386626921,0.461847036,0.532786885,6,3,3,UBR291,UBR448,UBR545,UBR998,UBR948,UBR871,UBR21,UBR771,UBR460,UBR794,UBR999,UBR289,UBR567,UBR669,UBR514,UBR59,UBR546,UBR601,UBR274,2,4,1,5,4,2,2,7,2,2,3,5,6,4,6,3,2,1,1,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3
UBR32,0.285739278,0.293761346,0.609375,3,0,3,UBR982,UBR350,UBR173,UBR501,UBR469,UBR240,UBR681,UBR764,UBR57,UBR189,UBR970,UBR571,UBR179,UBR630,UBR905,UBR534,UBR791,UBR249,UBR474,1,1,5,7,4,1,2,4,7,7,7,1,1,3,7,5,6,4,5,3,3,3,1,3,3,3,3,0,0,2,3,3,3,2,3,3,3,3
UBR33,0.009406914,-0.174520615,0.585185185,9,7,2,UBR56,UBR237,UBR283,UBR452,UBR884,UBR707,UBR46,UBR648,UBR666,UBR317,UBR507,UBR865,UBR786,UBR919,UBR261,UBR675,UBR743,UBR82,UBR123,2,2,1,5,3,0,6,6,2,5,6,5,7,5,4,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3
UBR34,0.037367871,-0.00497614,0.513274336,6,3,3,UBR213,UBR161,UBR122,UBR896,UBR637,UBR135,UBR488,UBR499,UBR665,UBR76,UBR378,UBR116,UBR798,UBR467,UBR553,UBR860,UBR940,UBR770,UBR229,2,2,7,1,4,3,0,4,5,2,7,1,1,1,3,7,2,2,1,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3
UBR35,-0.132196258,-0.195580471,0.572519084,6,3,3,UBR975,UBR543,UBR70,UBR27,UBR320,UBR438,UBR713,UBR270,UBR486,UBR784,UBR525,UBR839,UBR251,UBR376,UBR852,UBR275,UBR895,UBR706,UBR485,7,6,2,6,1,1,4,3,3,2,7,1,2,7,2,5,3,6,4,2,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3
UBR36,-0.193077432,-0.112712247,0.595419847,7,4,3,UBR965,UBR290,UBR256,UBR342,UBR397,UBR892,UBR217,UBR538,UBR509,UBR651,UBR134,UBR844,UBR4,UBR766,UBR11,UBR788,UBR430,UBR869,UBR275,3,1,1,2,7,0,2,3,0,5,7,5,7,7,4,4,7,4,5,3,3,3,3,1,3,3,3,3,3,2,3,2,2,3,3,1,3,3
UBR37,0.228174114,0.421118341,0.547619048,6,3,3,UBR408,UBR249,UBR987,UBR753,UBR922,UBR221,UBR791,UBR247,UBR681,UBR206,UBR258,UBR202,UBR315,UBR344,UBR394,UBR534,UBR920,UBR312,UBR970,5,4,1,1,1,4,6,0,2,5,5,2,6,1,1,5,7,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2
UBR38,-0.070020046,-0.085452908,0.58778626,5,2,3,UBR254,UBR250,UBR780,UBR267,UBR158,UBR432,UBR789,UBR576,UBR84,UBR426,UBR536,UBR835,UBR133,UBR318,UBR367,UBR99,UBR864,UBR666,UBR205,6,3,7,4,4,7,7,0,4,4,3,2,2,1,5,6,1,2,7,3,3,1,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,2
UBR39,0.479916757,-0.266541812,0.641791045,3,0,3,UBR615,UBR785,UBR380,UBR95,UBR638,UBR716,UBR728,UBR356,UBR396,UBR682,UBR694,UBR946,UBR141,UBR300,UBR493,UBR266,UBR634,UBR809,UBR738,7,4,2,1,4,7,7,2,7,0,5,2,7,3,4,4,6,7,7,2,3,3,3,3,1,1,3,2,3,3,3,2,3,3,3,3,1,0
UBR40,0.059489238,0.373149013,0.53125,8,5,3,UBR868,UBR294,UBR113,UBR28,UBR362,UBR78,UBR185,UBR109,UBR344,UBR22,UBR45,UBR315,UBR394,UBR863,UBR206,UBR853,UBR455,UBR942,UBR904,3,1,6,4,6,0,2,3,1,5,3,6,1,3,5,2,1,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UBR41,-0.440915684,-0.100067242,0.512396694,4,1,3,UBR900,UBR912,UBR767,UBR265,UBR997,UBR910,UBR573,UBR731,UBR100,UBR414,UBR303,UBR175,UBR164,UBR245,UBR671,UBR907,UBR640,UBR2,UBR805,4,3,4,5,4,4,3,1,1,4,2,3,1,2,3,4,7,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
UBR42,0.183336225,0.230991572,0.628571429,4,1,3,UBR740,UBR851,UBR489,UBR179,UBR226,UBR905,UBR571,UBR6,UBR797,UBR474,UBR264,UBR595,UBR228,UBR522,UBR12,UBR816,UBR661,UBR813,UBR633,7,7,4,1,7,7,1,2,2,5,5,7,3,7,2,7,6,4,3,2,2,3,3,2,2,3,3,3,3,3,2,3,2,3,1,3,3,3
UBR43,0.228281778,0.051983958,0.590551181,7,4,3,UBR600,UBR502,UBR954,UBR739,UBR994,UBR111,UBR883,UBR297,UBR972,UBR443,UBR479,UBR643,UBR451,UBR996,UBR721,UBR348,UBR52,UBR584,UBR83,1,6,1,2,5,5,4,7,4,7,7,7,1,1,2,1,2,5,3,3,3,3,3,3,3,3,1,3,2,1,0,3,3,3,3,3,3,3
UBR44,-0.336877995,-0.161783131,0.579831933,3,0,3,UBR288,UBR115,UBR652,UBR961,UBR930,UBR144,UBR400,UBR445,UBR644,UBR384,UBR333,UBR611,UBR554,UBR712,UBR805,UBR433,UBR409,UBR574,UBR624,3,1,6,5,5,0,7,0,3,7,0,7,2,1,1,2,5,7,7,3,3,3,3,3,3,2,3,3,1,3,0,3,3,3,3,3,2,0
UBR45,0.005979481,0.330681343,0.569230769,6,3,3,UBR28,UBR22,UBR942,UBR109,UBR294,UBR437,UBR78,UBR741,UBR113,UBR853,UBR40,UBR272,UBR664,UBR701,UBR65,UBR114,UBR866,UBR362,UBR85,4,5,6,3,1,2,0,5,6,2,5,1,4,7,4,0,3,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,0
UBR46,-0.03380665,-0.18611429,0.561538462,9,6,3,UBR707,UBR884,UBR317,UBR452,UBR895,UBR33,UBR56,UBR251,UBR666,UBR897,UBR831,UBR353,UBR485,UBR270,UBR367,UBR438,UBR237,UBR507,UBR84,0,3,5,5,3,7,2,2,2,7,0,6,4,3,5,1,2,6,4,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3
UBR47,0.215095901,-0.039420396,0.6,9,7,2,UBR110,UBR241,UBR227,UBR690,UBR924,UBR416,UBR755,UBR989,UBR145,UBR199,UBR436,UBR456,UBR980,UBR260,UBR643,UBR392,UBR297,UBR451,UBR873,7,0,7,5,0,0,6,2,1,6,2,2,3,5,7,3,7,1,4,1,3,1,3,3,3,3,3,3,3,3,3,3,3,0,3,1,3,3
UBR48,0.431417288,0.295346518,0.615384615,9,7,2,UBR631,UBR219,UBR630,UBR473,UBR345,UBR57,UBR240,UBR581,UBR764,UBR606,UBR970,UBR843,UBR173,UBR881,UBR534,UBR501,UBR720,UBR189,UBR180,0,3,3,1,5,7,1,5,4,1,7,6,5,0,5,7,1,7,5,3,3,3,3,3,0,3,3,3,3,2,3,3,3,3,1,3,0,3
UBR49,0.10595463,-0.320404818,0.504273504,5,2,3,UBR757,UBR220,UBR734,UBR94,UBR893,UBR973,UBR480,UBR934,UBR959,UBR938,UBR557,UBR495,UBR512,UBR450,UBR304,UBR146,UBR58,UBR82,UBR143,3,3,4,2,1,1,1,5,7,4,1,2,4,1,7,1,4,2,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3
UBR50,-0.242417496,0.037737884,0.604651163,4,1,3,UBR925,UBR399,UBR609,UBR654,UBR577,UBR101,UBR583,UBR91,UBR323,UBR913,UBR547,UBR67,UBR13,UBR334,UBR225,UBR854,UBR674,UBR26,UBR796,6,2,2,7,0,7,7,7,0,4,1,3,0,6,5,3,7,4,6,3,3,3,2,3,0,2,1,3,3,3,3,3,3,3,3,1,3,3
UBR51,-0.395587083,0.191061312,0.648,9,7,2,UBR142,UBR230,UBR435,UBR211,UBR153,UBR127,UBR274,UBR453,UBR879,UBR567,UBR532,UBR551,UBR236,UBR672,UBR678,UBR777,UBR524,UBR187,UBR466,3,7,1,0,2,7,1,1,7,6,7,7,4,4,3,2,7,2,3,3,0,3,3,3,0,3,3,1,3,1,0,3,3,3,3,1,3,3
UBR52,0.199708657,0.106780928,0.6015625,5,2,3,UBR584,UBR883,UBR996,UBR579,UBR149,UBR443,UBR96,UBR505,UBR83,UBR90,UBR815,UBR874,UBR813,UBR816,UBR739,UBR603,UBR43,UBR928,UBR600,5,4,1,2,2,7,2,6,3,2,6,7,4,7,2,3,4,7,1,3,3,3,3,3,2,3,3,3,3,3,0,3,1,3,3,3,0,3
UBR53,0.187696542,-0.208007585,0.509090909,3,0,3,UBR817,UBR829,UBR548,UBR617,UBR725,UBR340,UBR806,UBR103,UBR368,UBR842,UBR172,UBR239,UBR197,UBR253,UBR146,UBR872,UBR717,UBR544,UBR959,5,0,7,4,1,3,7,2,0,2,3,2,1,2,1,7,1,1,7,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,2
UBR54,-0.136689485,-0.045612305,0.62406015,5,2,3,UBR463,UBR234,UBR166,UBR733,UBR391,UBR99,UBR575,UBR420,UBR909,UBR958,UBR864,UBR457,UBR663,UBR273,UBR621,UBR363,UBR478,UBR252,UBR148,7,7,5,1,2,6,3,5,6,2,1,2,7,7,4,7,0,2,7,2,2,3,3,3,3,3,3,3,3,3,3,2,0,3,0,3,3,2
UBR55,0.085763883,-0.072459273,0.633587786,9,6,3,UBR18,UBR768,UBR886,UBR616,UBR531,UBR744,UBR125,UBR10,UBR25,UBR302,UBR775,UBR979,UBR848,UBR482,UBR337,UBR76,UBR860,UBR723,UBR123,7,3,3,0,2,2,2,2,5,7,6,7,7,2,7,2,7,2,4,0,3,3,3,3,3,3,3,3,2,3,2,1,3,0,3,1,3,3
UBR56,0.015524082,-0.183665748,0.591240876,5,2,3,UBR33,UBR237,UBR283,UBR648,UBR46,UBR452,UBR884,UBR707,UBR82,UBR865,UBR261,UBR317,UBR666,UBR675,UBR507,UBR786,UBR919,UBR58,UBR353,7,2,1,6,6,5,3,0,2,5,4,5,2,3,6,7,5,4,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
UBR57,0.345065867,0.270036942,0.622047244,7,7,0,UBR764,UBR240,UBR501,UBR173,UBR630,UBR189,UBR32,UBR720,UBR631,UBR345,UBR581,UBR970,UBR982,UBR469,UBR350,UBR48,UBR534,UBR14,UBR681,4,1,7,5,3,7,0,1,0,5,5,7,1,4,1,7,5,7,2,3,3,1,3,3,0,3,3,3,3,3,2,3,3,3,2,3,1,3
UBR58,0.071564346,-0.232268019,0.5,7,4,3,UBR82,UBR752,UBR934,UBR557,UBR893,UBR588,UBR143,UBR889,UBR248,UBR94,UBR450,UBR237,UBR304,UBR283,UBR56,UBR734,UBR261,UBR146,UBR528,2,2,5,1,1,2,4,0,6,2,1,2,7,1,2,4,4,1,7,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2
UBR59,-0.23406828,0.311005678,0.529411765,6,3,3,UBR676,UBR794,UBR999,UBR601,UBR771,UBR669,UBR21,UBR693,UBR820,UBR289,UBR201,UBR727,UBR29,UBR74,UBR803,UBR212,UBR950,UBR448,UBR977,3,2,3,1,7,4,2,0,4,5,3,5,7,2,2,4,1,4,1,3,3,3,3,0,3,3,3,3,3,3,3,2,3,3,3,3,3,3
UBR60,-0.074419227,0.103611645,0.504132231,4,1,3,UBR515,UBR461,UBR117,UBR750,UBR484,UBR802,UBR802,UBR591,UBR703,UBR292,UBR188,UBR763,UBR299,UBR862,UBR662,UBR108,UBR429,UBR366,UBR898,0,6,3,5,5,3,3,2,3,3,6,0,5,3,1,2,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UBR61,0.079268078,0.176906204,0.621428571,8,5,3,UBR523,UBR63,UBR921,UBR587,UBR635,UBR511,UBR246,UBR336,UBR347,UBR827,UBR119,UBR500,UBR647,UBR722,UBR818,UBR169,UBR264,UBR696,UBR990,4,5,4,5,7,7,1,5,7,7,6,0,5,1,1,3,5,5,4,3,3,3,3,2,1,3,3,2,0,3,3,3,3,3,3,3,3,3
UBR62,-0.099854483,0.19986026,0.529411765,7,4,3,UBR355,UBR120,UBR902,UBR447,UBR481,UBR605,UBR779,UBR995,UBR429,UBR960,UBR475,UBR662,UBR684,UBR976,UBR68,UBR329,UBR305,UBR908,UBR539,3,5,7,4,7,0,3,1,1,5,6,1,4,4,0,2,1,2,3,3,3,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UBR63,0.088564743,0.15899507,0.671232877,8,5,3,UBR336,UBR61,UBR347,UBR523,UBR511,UBR921,UBR647,UBR722,UBR587,UBR635,UBR827,UBR246,UBR990,UBR301,UBR112,UBR928,UBR818,UBR119,UBR264,5,5,7,4,7,4,5,1,5,7,7,1,4,7,5,7,1,6,5,3,3,2,3,1,3,3,3,3,2,0,3,3,1,3,0,3,3,3
UBR64,-0.003589611,0.180949538,0.521008403,9,6,3,UBR555,UBR352,UBR424,UBR415,UBR471,UBR568,UBR539,UBR89,UBR684,UBR246,UBR827,UBR500,UBR366,UBR177,UBR960,UBR210,UBR605,UBR468,UBR921,5,1,0,5,0,1,3,2,4,1,7,0,6,5,5,5,0,2,4,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3
UBR65,-0.005110869,0.255587817,0.525862069,7,4,3,UBR866,UBR701,UBR468,UBR89,UBR774,UBR85,UBR942,UBR568,UBR272,UBR976,UBR437,UBR853,UBR424,UBR684,UBR995,UBR500,UBR22,UBR605,UBR109,3,7,2,2,7,7,6,1,1,4,2,2,0,4,1,0,5,0,3,3,2,3,3,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3
UBR66,-0.309616882,0.10897973,0.588235294,6,3,3,UBR215,UBR147,UBR126,UBR783,UBR243,UBR69,UBR214,UBR678,UBR777,UBR870,UBR118,UBR324,UBR672,UBR187,UBR608,UBR26,UBR466,UBR102,UBR547,7,7,5,4,7,3,2,3,2,4,5,6,4,2,6,4,3,2,1,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UBR67,-0.211859414,0.014013692,0.62295082,6,3,3,UBR323,UBR559,UBR101,UBR365,UBR393,UBR583,UBR556,UBR674,UBR854,UBR417,UBR936,UBR13,UBR399,UBR747,UBR91,UBR50,UBR357,UBR128,UBR284,0,2,7,7,7,7,4,7,3,0,7,0,2,1,7,1,7,2,2,3,3,0,2,0,2,3,1,3,3,2,3,3,3,1,3,2,3,3
